ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	53.178059402365825	53.178059402365825	53.178059402365825	53.178059402365825
1	53.26467924299708	53.2065670125683	53.23562312778268	53.26467924299708
2	53.31668756831966	53.23685203854754	53.279033371143875	53.31722344999007
3	53.37165458818831	53.262080418223405	53.32071836479697	53.3722160145419
4	53.40996687814065	53.28324534385736	53.352135800638486	53.41014551417924
5	53.44078594649062	53.29996758049011	53.37682228015987	53.44137284678916
6	53.46536701082762	53.31329397875142	53.39584209288194	53.46536701082762
7	53.478804953827215	53.32194789581325	53.40826042819581	53.478881507885006
8	53.49801342571861	53.32368500867677	53.42022639897975	53.4984472356392
9	53.520056421908	53.341859507813616	53.443192073351774	53.52251873964356
10	53.522103367582496	53.34303384799565	53.44675496725494	53.52478278497203
