Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	19:53:33	19:53:33	19:53:34			19:53:34	19:53:34	19:53:34	19:53:34	19:53:34	19:53:35	19:53:35	19:53:35	19:53:35	19:53:35	19:53:35			19:53:37	19:53:37		00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
1	19:53:37	19:53:37	19:53:37	19:53:37	19:53:37	19:53:37	19:53:37	19:53:37	19:53:37	19:53:37	19:53:38	19:53:38	19:53:38	19:53:38	19:53:38	19:53:38			19:53:39	19:53:39		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
2	19:53:39	19:53:39	19:53:39	19:53:39	19:53:39	19:53:39			19:53:39	19:53:39	19:53:40	19:53:40	19:53:40	19:53:40	19:53:40	19:53:40			19:53:40	19:53:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
3	19:53:40	19:53:40	19:53:40	19:53:40	19:53:40	19:53:40			19:53:40	19:53:40	19:53:41	19:53:41	19:53:41	19:53:41	19:53:41	19:53:41			19:53:41	19:53:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
4	19:53:41	19:53:41	19:53:41	19:53:41	19:53:41	19:53:41			19:53:41	19:53:41	19:53:42	19:53:42	19:53:42	19:53:42	19:53:42	19:53:42			19:53:43	19:53:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
5	19:53:43	19:53:43	19:53:43	19:53:43	19:53:43	19:53:43			19:53:43	19:53:43	19:53:44	19:53:44	19:53:44	19:53:44	19:53:44	19:53:44			19:53:44	19:53:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
6	19:53:44	19:53:44	19:53:44	19:53:44	19:53:44	19:53:44			19:53:44	19:53:44	19:53:45	19:53:45	19:53:45	19:53:45	19:53:45	19:53:45			19:53:45	19:53:45		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
7	19:53:45	19:53:45	19:53:45	19:53:45	19:53:45	19:53:45			19:53:45	19:53:45	19:53:46	19:53:46	19:53:46	19:53:46	19:53:46	19:53:46			19:53:47	19:53:47		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
8	19:53:47	19:53:47	19:53:47	19:53:47	19:53:47	19:53:47			19:53:47	19:53:47	19:53:48	19:53:48	19:53:48	19:53:48	19:53:48	19:53:48			19:53:48	19:53:48		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
9	19:53:48	19:53:48	19:53:48	19:53:48	19:53:48	19:53:48			19:53:48	19:53:48	19:53:49	19:53:49	19:53:49	19:53:49	19:53:49	19:53:49			19:53:49	19:53:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
10	19:53:49	19:53:49	19:53:49	19:53:49	19:53:49	19:53:49	19:53:49	19:53:49	19:53:49	19:53:49	19:53:50	19:53:50	19:53:50	19:53:50	19:53:50	19:53:50	19:53:50	19:53:50	19:53:50	19:53:50		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01
